ts_unix_ms,ok,status_code,latency_ms,error
1779547233868,1,200,9.470,
1779547233870,1,200,13.820,
1779547233872,1,200,5.516,
1779547233872,1,200,10.431,
1779547233872,1,200,22.032,
1779547233873,1,200,15.927,
1779547233874,1,200,10.321,
1779547233876,1,200,10.939,
1779547233877,1,200,12.379,
1779547233877,1,200,16.081,
1779547233878,1,200,15.308,
1779547233880,1,200,10.487,
1779547233882,1,200,18.506,
1779547233883,1,200,33.151,
1779547233883,1,200,10.520,
1779547233884,1,200,10.153,
1779547233884,1,200,15.964,
1779547233886,1,200,5.492,
1779547233886,1,200,27.482,
1779547233887,1,200,15.517,
1779547233888,1,200,15.291,
1779547233888,1,200,10.918,
1779547233889,1,200,20.593,
1779547233891,1,200,24.273,
1779547233891,1,200,15.232,
1779547233893,1,200,14.588,
1779547233893,1,200,9.434,
1779547233894,1,200,5.860,
1779547233895,1,200,11.924,
1779547233896,1,200,24.064,
1779547233896,1,200,8.550,
1779547233897,1,200,9.648,
1779547233897,1,200,13.840,
1779547233898,1,200,6.448,
1779547233899,1,200,16.650,
1779547233899,1,200,6.551,
1779547233901,1,200,14.783,
1779547233901,1,200,14.472,
1779547233901,1,200,16.920,
1779547233904,1,200,26.286,
1779547233905,1,200,8.000,
1779547233905,1,200,8.393,
1779547233908,1,200,14.250,
1779547233908,1,200,12.921,
1779547233908,1,200,13.578,
1779547233910,1,200,11.858,
1779547233910,1,200,13.259,
1779547233910,1,200,22.446,
1779547233911,1,200,11.368,
1779547233912,1,200,20.728,
1779547233913,1,200,11.858,
1779547233913,1,200,16.927,
1779547233914,1,200,14.827,
1779547233915,1,200,9.713,
1779547233919,1,200,8.917,
1779547233920,1,200,18.498,
1779547233920,1,200,12.497,
1779547233921,1,200,10.764,
1779547233922,1,200,9.276,
1779547233922,1,200,21.730,
1779547233923,1,200,14.565,
1779547233923,1,200,13.225,
1779547233923,1,200,15.374,
1779547233924,1,200,18.615,
1779547233926,1,200,13.482,
1779547233927,1,200,11.930,
1779547233929,1,200,25.044,
1779547233931,1,200,8.418,
1779547233931,1,200,21.052,
1779547233931,1,200,17.698,
1779547233932,1,200,7.534,
1779547233932,1,200,12.171,
1779547233932,1,200,19.156,
1779547233933,1,200,9.827,
1779547233933,1,200,13.193,
1779547233934,1,200,15.082,
1779547233937,1,200,14.003,
1779547233937,1,200,5.846,
1779547233938,1,200,16.511,
1779547233939,1,200,4.877,
1779547233939,1,200,15.635,
1779547233939,1,200,10.671,
1779547233940,1,200,14.153,
1779547233941,1,200,10.315,
1779547233943,1,200,16.540,
1779547233944,1,200,7.535,
1779547233946,1,200,23.564,
1779547233947,1,200,5.146,
1779547233947,1,200,14.937,
1779547233947,1,200,4.019,
1779547233948,1,200,14.433,
1779547233949,1,200,18.545,
1779547233950,1,200,17.656,
1779547233950,1,200,17.502,
1779547233951,1,200,5.617,
1779547233952,1,200,12.803,
1779547233953,1,200,15.840,
1779547233955,1,200,15.982,
1779547233956,1,200,24.762,
1779547233957,1,200,8.921,
1779547233958,1,200,8.526,
1779547233959,1,200,18.947,
1779547233960,1,200,13.002,
1779547233961,1,200,21.926,
1779547233961,1,200,9.620,
1779547233962,1,200,14.799,
1779547233962,1,200,9.274,
1779547233965,1,200,20.278,
1779547233965,1,200,14.889,
1779547233966,1,200,14.444,
1779547233967,1,200,7.698,
1779547233967,1,200,29.036,
1779547233968,1,200,13.479,
1779547233969,1,200,6.023,
1779547233970,1,200,13.506,
1779547233971,1,200,6.199,
1779547233972,1,200,22.154,
1779547233972,1,200,11.138,
1779547233973,1,200,14.739,
1779547233973,1,200,26.413,
1779547233974,1,200,11.960,
1779547233975,1,200,7.781,
1779547233976,1,200,9.871,
1779547233978,1,200,16.168,
1779547233979,1,200,10.157,
1779547233979,1,200,22.095,
1779547233979,1,200,6.298,
1779547233980,1,200,7.547,
1779547233980,1,200,20.066,
1779547233982,1,200,9.238,
1779547233983,1,200,11.707,
1779547233983,1,200,17.822,
1779547233984,1,200,8.613,
1779547233984,1,200,17.131,
1779547233985,1,200,9.124,
1779547233986,1,200,15.653,
1779547233988,1,200,19.571,
1779547233989,1,200,6.294,
1779547233990,1,200,10.972,
1779547233991,1,200,13.065,
1779547233991,1,200,18.288,
1779547233993,1,200,14.012,
1779547233993,1,200,13.502,
1779547233994,1,200,5.871,
1779547233994,1,200,9.198,
1779547233995,1,200,13.459,
1779547233996,1,200,15.678,
1779547233996,1,200,6.556,
1779547233997,1,200,2.683,
1779547233997,1,200,13.441,
1779547233997,1,200,11.487,
1779547233998,1,200,23.901,
1779547234000,1,200,19.821,
1779547234001,1,200,17.387,
1779547234002,1,200,17.919,
1779547234003,1,200,9.606,
1779547234003,1,200,14.412,
1779547234004,1,200,8.996,
1779547234005,1,200,14.243,
1779547234005,1,200,8.359,
1779547234008,1,200,6.845,
1779547234008,1,200,10.975,
1779547234009,1,200,15.914,
1779547234010,1,200,18.596,
1779547234011,1,200,17.912,
1779547234012,1,200,15.786,
1779547234013,1,200,4.877,
1779547234013,1,200,14.852,
1779547234013,1,200,13.561,
1779547234014,1,200,16.323,
1779547234014,1,200,9.562,
1779547234014,1,200,11.689,
1779547234017,1,200,11.918,
1779547234018,1,200,13.174,
1779547234019,1,200,22.542,
1779547234019,1,200,9.710,
1779547234021,1,200,9.388,
1779547234022,1,200,8.029,
1779547234023,1,200,15.222,
1779547234024,1,200,10.663,
1779547234026,1,200,12.909,
1779547234026,1,200,15.719,
1779547234027,1,200,14.144,
1779547234027,1,200,17.739,
1779547234027,1,200,25.573,
1779547234029,1,200,9.034,
1779547234029,1,200,25.699,
1779547234030,1,200,15.248,
1779547234031,1,200,17.533,
1779547234031,1,200,9.932,
1779547234032,1,200,14.479,
1779547234033,1,200,10.855,
1779547234033,1,200,14.138,
1779547234034,1,200,15.830,
1779547234034,1,200,8.732,
1779547234035,1,200,10.808,
1779547234036,1,200,5.550,
1779547234038,1,200,9.211,
1779547234039,1,200,7.245,
1779547234039,1,200,12.580,
1779547234040,1,200,16.958,
1779547234042,1,200,8.024,
1779547234043,1,200,11.422,
1779547234044,1,200,14.448,
1779547234044,1,200,8.748,
